H-H:1.6	H-He:1.6	H-Li:1.6	H-Be:1.71649	H-B:1.59646	H-C:1.2	H-N:1.2	H-O:2.1	H-F:1.1	H-Ne:1.6	H-Na:2.79942	H-Mg:2.24293	H-Al:1.90646	H-Si:1.82002	H-P:1.45998	H-S:1.42998	H-Cl:1.5	H-Ar:1.6	H-K:3.21942	H-Ca:2.69295	H-Sc:2.24291	H-Ti:1.76642	H-V:1.73642	H-Cr:1.67642	H-Mn:1.70642	H-Fe:1.68642	H-Co:1.9278	H-Ni:1.44998	H-Cu:1.81649	H-Zn:2.13293	H-Ga:1.55998	H-Ge:1.59998	H-As:1.6	H-Se:1.58998	H-Br:1.6	H-Kr:1.6	H-Rb:3.43645	H-Sr:2.87295	H-Y:2.46649	H-Zr:3.39221	H-Nb:1.90642	H-Mo:1.83701	H-Tc:1.6	H-Ru:1.65998	H-Rh:1.59998	H-Pd:1.51998	H-Ag:1.65642	H-Cd:2.52295	H-In:1.87642	H-Sn:2.00642	H-Sb:2.81998	H-Te:1.87998	H-I:1.6	H-Xe:1.6	H-Cs:3.20348	H-Ba:3.08295	H-La:2.77293	H-Ce:2.34644	H-Pr:2.62649	H-Nd:1.6	H-Pm:1.6	H-Sm:2.56649	H-Eu:2.18898	H-Gd:2.13	H-Tb:2.51649	H-Dy:2.09	H-Ho:2.11898	H-Er:2.06	H-Tm:2.45649	H-Yb:2.42649	H-Lu:2.42649	H-Hf:1.93642	H-Ta:1.91642	H-W:1.80998	H-Re:1.79998	H-Os:1.6	H-Ir:1.80998	H-Pt:1.44998	H-Au:1.41998	H-Hg:1.86642	H-Tl:2.35644	H-Pb:2.27644	H-Bi:2.12642	H-Po:1.6	H-At:1.6	H-Rn:1.6	H-Fr:1.6	H-Ra:1.6	H-Ac:1.6	H-Th:2.67649	H-Pa:1.6	H-U:2.27644	H-Np:1.6	H-Pu:1.6	H-Am:1.6	H-Cm:1.6	H-Bk:1.6	H-Cf:1.6	H-Es:1.6	H-Fm:1.6	H-Md:1.6	H-No:1.6	H-Lw:1.6	H-Rf:1.6	H-Db:1.6	H-Sg:1.6	H-Bh:1.6	H-Hs:1.6	H-Mt:1.6	H-Ds:1.6	H-Rg:1.6	
Mg-H:2.24293	Mg-He:1.6	Mg-Li:3.4113	Mg-Be:3.33212	Mg-B:2.61945	Mg-C:2.33438	Mg-N:2.47691	Mg-O:2.47691	Mg-F:2.33438	Mg-Ne:1.6	Mg-Na:3.38375	Mg-Mg:3.47465	Mg-Al:3.47465	Mg-Si:3.18958	Mg-P:3.04705	Mg-S:2.90452	Mg-Cl:2.76198	Mg-Ar:1.6	Mg-K:3.47465	Mg-Ca:3.22497	Mg-Sc:3.47465	Mg-Ti:3.47465	Mg-V:3.47465	Mg-Cr:3.4113	Mg-Mn:3.47465	Mg-Fe:3.47465	Mg-Co:3.4113	Mg-Ni:3.26877	Mg-Cu:3.33212	Mg-Zn:3.47465	Mg-Ga:3.4113	Mg-Ge:3.4113	Mg-As:3.33212	Mg-Se:3.04705	Mg-Br:2.99293	Mg-Kr:1.6	Mg-Rb:3.25547	Mg-Sr:3.39173	Mg-Y:3.38375	Mg-Zr:3.19845	Mg-Nb:3.47465	Mg-Mo:3.18958	Mg-Tc:3.33212	Mg-Ru:3.33212	Mg-Rh:3.26877	Mg-Pd:3.26877	Mg-Ag:3.47465	Mg-Cd:3.4113	Mg-In:3.47465	Mg-Sn:3.47465	Mg-Sb:3.19845	Mg-Te:3.18958	Mg-I:3.26877	Mg-Xe:1.6	Mg-Cs:3.47465	Mg-Ba:3.15646	Mg-La:3.16083	Mg-Ce:3.16083	Mg-Pr:3.16083	Mg-Nd:3.16083	Mg-Pm:3.45501	Mg-Sm:3.16083	Mg-Eu:3.39173	Mg-Gd:3.38375	Mg-Tb:3.38375	Mg-Dy:3.38375	Mg-Ho:3.38375	Mg-Er:3.38375	Mg-Tm:3.38375	Mg-Yb:3.16083	Mg-Lu:3.25547	Mg-Hf:3.47465	Mg-Ta:3.47465	Mg-W:3.4113	Mg-Re:3.33212	Mg-Os:3.33212	Mg-Ir:3.33212	Mg-Pt:3.18958	Mg-Au:3.26877	Mg-Hg:3.47465	Mg-Tl:3.47465	Mg-Pb:3.25547	Mg-Bi:3.38375	Mg-Po:1.6	Mg-At:1.6	Mg-Rn:1.6	Mg-Fr:1.6	Mg-Ra:1.6	Mg-Ac:3.34042	Mg-Th:3.16083	Mg-Pa:3.38375	Mg-U:3.38375	Mg-Np:3.25547	Mg-Pu:3.25547	Mg-Am:1.6	Mg-Cm:1.6	Mg-Bk:1.6	Mg-Cf:1.6	Mg-Es:1.6	Mg-Fm:1.6	Mg-Md:1.6	Mg-No:1.6	Mg-Lw:1.6	Mg-Rf:1.6	Mg-Db:1.6	Mg-Sg:1.6	Mg-Bh:1.6	Mg-Hs:1.6	Mg-Mt:1.6	Mg-Ds:1.6	Mg-Rg:1.6	
Al-H:1.90646	Al-He:1.6	Al-Li:3.47465	Al-Be:3.33212	Al-B:2.47691	Al-C:2.33438	Al-N:2.33438	Al-O:2.19185	Al-F:2.04931	Al-Ne:1.6	Al-Na:3.38375	Al-Mg:3.47465	Al-Al:2.93	Al-Si:2.76198	Al-P:2.76198	Al-S:2.69863	Al-Cl:2.47691	Al-Ar:1.6	Al-K:3.39173	Al-Ca:3.38375	Al-Sc:3.47465	Al-Ti:3.4113	Al-V:2.76198	Al-Cr:3.26877	Al-Mn:3.04705	Al-Fe:3.04705	Al-Co:3.04705	Al-Ni:2.76198	Al-Cu:3.04705	Al-Zn:3.33212	Al-Ga:3.47465	Al-Ge:3.47465	Al-As:3.11	Al-Se:2.76198	Al-Br:2.61945	Al-Kr:1.6	Al-Rb:3.15646	Al-Sr:3.38375	Al-Y:3.25547	Al-Zr:3.47465	Al-Nb:3.33212	Al-Mo:3.04705	Al-Tc:3.04705	Al-Ru:3.04705	Al-Rh:3.04705	Al-Pd:3.04705	Al-Ag:3.18958	Al-Cd:3.47465	Al-In:3.47465	Al-Sn:3.25547	Al-Sb:2.90452	Al-Te:2.90452	Al-I:2.90452	Al-Xe:1.6	Al-Cs:3.47465	Al-Ba:3.39173	Al-La:3.38375	Al-Ce:3.38375	Al-Pr:3.38375	Al-Nd:3.38375	Al-Pm:3.32673	Al-Sm:3.38375	Al-Eu:3.45501	Al-Gd:3.38375	Al-Tb:3.25547	Al-Dy:3.25547	Al-Ho:3.25547	Al-Er:3.25547	Al-Tm:3.32673	Al-Yb:3.32673	Al-Lu:3.25547	Al-Hf:3.47465	Al-Ta:3.33212	Al-W:3.04705	Al-Re:3.33212	Al-Os:3.04705	Al-Ir:3.04705	Al-Pt:3.26877	Al-Au:3.18958	Al-Hg:3.19845	Al-Tl:3.25547	Al-Pb:3.38375	Al-Bi:3.25547	Al-Po:1.6	Al-At:1.6	Al-Rn:1.6	Al-Fr:1.6	Al-Ra:1.6	Al-Ac:3.16083	Al-Th:3.25547	Al-Pa:3.25547	Al-U:3.25547	Al-Np:3.19845	Al-Pu:3.19845	Al-Am:1.6	Al-Cm:1.6	Al-Bk:1.6	Al-Cf:1.6	Al-Es:1.6	Al-Fm:1.6	Al-Md:1.6	Al-No:1.6	Al-Lw:1.6	Al-Rf:1.6	Al-Db:1.6	Al-Sg:1.6	Al-Bh:1.6	Al-Hs:1.6	Al-Mt:1.6	Al-Ds:1.6	Al-Rg:1.6	
Si-H:1.82002	Si-He:1.6	Si-Li:3.47465	Si-Be:3.26877	Si-B:2.19185	Si-C:2.04931	Si-N:2.04931	Si-O:1.90678	Si-F:1.98596	Si-Ne:1.6	Si-Na:3.38375	Si-Mg:3.18958	Si-Al:2.76198	Si-Si:2.4	Si-P:2.47691	Si-S:2.41357	Si-Cl:2.33438	Si-Ar:1.6	Si-K:3.39173	Si-Ca:3.16083	Si-Sc:3.33212	Si-Ti:3.18958	Si-V:3.26877	Si-Cr:3.04705	Si-Mn:3.04705	Si-Fe:2.61945	Si-Co:2.90452	Si-Ni:2.61945	Si-Cu:2.76198	Si-Zn:3.47465	Si-Ga:3.47465	Si-Ge:2.61945	Si-As:2.61945	Si-Se:2.47691	Si-Br:2.47691	Si-Kr:1.6	Si-Rb:3.39173	Si-Sr:3.22497	Si-Y:3.19845	Si-Zr:3.26877	Si-Nb:3.18958	Si-Mo:3.04705	Si-Tc:3.04705	Si-Ru:2.9837	Si-Rh:3.04705	Si-Pd:2.76198	Si-Ag:3.04705	Si-Cd:3.18958	Si-In:3.33212	Si-Sn:2.76198	Si-Sb:2.76198	Si-Te:2.76198	Si-I:2.76198	Si-Xe:1.6	Si-Cs:3.47465	Si-Ba:3.27628	Si-La:3.19845	Si-Ce:3.25547	Si-Pr:3.47465	Si-Nd:3.47465	Si-Pm:3.47465	Si-Sm:3.47465	Si-Eu:3.25547	Si-Gd:3.19845	Si-Tb:3.47465	Si-Dy:3.47465	Si-Ho:3.4113	Si-Er:3.47465	Si-Tm:3.47465	Si-Yb:3.47465	Si-Lu:3.47465	Si-Hf:3.18958	Si-Ta:3.18958	Si-W:3.18958	Si-Re:3.04705	Si-Os:3.04705	Si-Ir:3.04705	Si-Pt:2.69863	Si-Au:2.76198	Si-Hg:3.47465	Si-Tl:3.25547	Si-Pb:3.25547	Si-Bi:3.47465	Si-Po:1.6	Si-At:1.6	Si-Rn:1.6	Si-Fr:1.6	Si-Ra:1.6	Si-Ac:3.22497	Si-Th:3.25547	Si-Pa:3.33212	Si-U:3.47465	Si-Np:3.47465	Si-Pu:3.47465	Si-Am:1.6	Si-Cm:3.33212	Si-Bk:1.6	Si-Cf:1.6	Si-Es:1.6	Si-Fm:1.6	Si-Md:1.6	Si-No:1.6	Si-Lw:1.6	Si-Rf:1.6	Si-Db:1.6	Si-Sg:1.6	Si-Bh:1.6	Si-Hs:1.6	Si-Mt:1.6	Si-Ds:1.6	Si-Rg:1.6	
P-H:1.45998	P-He:1.6	P-Li:3.47465	P-Be:2.47691	P-B:2.33438	P-C:2.04931	P-N:1.90678	P-O:1.84343	P-F:1.76424	P-Ne:1.6	P-Na:3.38375	P-Mg:3.04705	P-Al:2.76198	P-Si:2.47691	P-P:2.47691	P-S:2.33438	P-Cl:2.27103	P-Ar:1.6	P-K:3.16083	P-Ca:3.47465	P-Sc:3.18958	P-Ti:2.9837	P-V:2.90452	P-Cr:2.61945	P-Mn:2.76198	P-Fe:2.61945	P-Co:2.69863	P-Ni:2.61945	P-Cu:2.61945	P-Zn:2.69863	P-Ga:2.61945	P-Ge:2.69863	P-As:3.42	P-Se:2.47691	P-Br:2.27103	P-Kr:1.6	P-Rb:3.22497	P-Sr:3.25547	P-Y:3.33212	P-Zr:3.12624	P-Nb:2.90452	P-Mo:2.76198	P-Tc:2.84117	P-Ru:2.61945	P-Rh:2.61945	P-Pd:2.61945	P-Ag:2.77	P-Cd:2.90452	P-In:2.90452	P-Sn:2.90452	P-Sb:3.62	P-Te:2.76198	P-I:2.61945	P-Xe:1.6	P-Cs:3.39173	P-Ba:3.32673	P-La:2.99	P-Ce:3.47465	P-Pr:3.33212	P-Nd:3.33212	P-Pm:3.04705	P-Sm:3.33212	P-Eu:3.19	P-Gd:3.33212	P-Tb:3.33212	P-Dy:3.11	P-Ho:3.18958	P-Er:3.18958	P-Tm:3.04705	P-Yb:3.18958	P-Lu:3.18958	P-Hf:2.87	P-Ta:2.90452	P-W:2.76198	P-Re:2.76198	P-Os:2.61945	P-Ir:2.61945	P-Pt:2.54	P-Au:2.66	P-Hg:2.76198	P-Tl:3.01644	P-Pb:2.76198	P-Bi:3.68	P-Po:1.6	P-At:1.6	P-Rn:1.6	P-Fr:1.6	P-Ra:1.6	P-Ac:3.18958	P-Th:3.4113	P-Pa:3.26877	P-U:3.18958	P-Np:2.90452	P-Pu:3.47465	P-Am:3.04705	P-Cm:1.6	P-Bk:1.6	P-Cf:1.6	P-Es:1.6	P-Fm:1.6	P-Md:1.6	P-No:1.6	P-Lw:1.6	P-Rf:1.6	P-Db:1.6	P-Sg:1.6	P-Bh:1.6	P-Hs:1.6	P-Mt:1.6	P-Ds:1.6	P-Rg:1.6	
S-H:1.42998	S-He:1.6	S-Li:2.90452	S-Be:2.33438	S-B:2.19185	S-C:2.04931	S-N:1.90678	S-O:1.76424	S-F:2.76198	S-Ne:1.6	S-Na:3.33212	S-Mg:2.90452	S-Al:2.69863	S-Si:2.41357	S-P:2.33438	S-S:2.2	S-Cl:3.36428	S-Ar:1.6	S-K:3.16083	S-Ca:3.18958	S-Sc:2.90452	S-Ti:2.76198	S-V:2.76198	S-Cr:2.76198	S-Mn:2.90452	S-Fe:2.61945	S-Co:2.61945	S-Ni:2.61945	S-Cu:2.61945	S-Zn:2.47691	S-Ga:2.5561	S-Ge:2.5561	S-As:2.5561	S-Se:2.47691	S-Br:2.55	S-Kr:1.6	S-Rb:3.34042	S-Sr:3.47465	S-Y:3.18958	S-Zr:3.04705	S-Nb:2.90452	S-Mo:2.76198	S-Tc:2.76198	S-Ru:2.69863	S-Rh:2.61945	S-Pd:2.61945	S-Ag:2.90452	S-Cd:3.04705	S-In:2.84117	S-Sn:2.9837	S-Sb:2.76198	S-Te:2.61945	S-I:2.40998	S-Xe:1.6	S-Cs:3.39173	S-Ba:3.38375	S-La:3.4113	S-Ce:3.33212	S-Pr:3.47465	S-Nd:3.4113	S-Pm:3.18958	S-Sm:3.18958	S-Eu:3.33212	S-Gd:3.18958	S-Tb:3.18958	S-Dy:3.18958	S-Ho:3.18958	S-Er:3.12624	S-Tm:3.04705	S-Yb:3.18958	S-Lu:3.04705	S-Hf:2.90452	S-Ta:2.84117	S-W:2.76198	S-Re:2.76198	S-Os:2.76198	S-Ir:2.61945	S-Pt:2.61945	S-Au:2.61945	S-Hg:2.88	S-Tl:3.22497	S-Pb:3.47465	S-Bi:3.33212	S-Po:1.6	S-At:1.6	S-Rn:1.6	S-Fr:1.6	S-Ra:1.6	S-Ac:3.47465	S-Th:3.18958	S-Pa:3.47465	S-U:3.18958	S-Np:3.18958	S-Pu:3.18958	S-Am:1.6	S-Cm:1.6	S-Bk:1.6	S-Cf:3.04705	S-Es:1.6	S-Fm:1.6	S-Md:1.6	S-No:1.6	S-Lw:1.6	S-Rf:1.6	S-Db:1.6	S-Sg:1.6	S-Bh:1.6	S-Hs:1.6	S-Mt:1.6	S-Ds:1.6	S-Rg:1.6	
Cl-H:1.5	Cl-He:1.6	Cl-Li:2.90452	Cl-Be:2.27103	Cl-B:2.04931	Cl-C:1.98596	Cl-N:2.8	Cl-O:1.7009	Cl-F:2.14646	Cl-Ne:1.6	Cl-Na:3.18958	Cl-Mg:2.76198	Cl-Al:2.47691	Cl-Si:2.33438	Cl-P:2.27103	Cl-S:3.36428	Cl-Cl:2.14296	Cl-Ar:1.6	Cl-K:3.13	Cl-Ca:3.33212	Cl-Sc:2.90452	Cl-Ti:2.69863	Cl-V:2.76198	Cl-Cr:2.61945	Cl-Mn:2.76198	Cl-Fe:2.76198	Cl-Co:2.69863	Cl-Ni:2.76198	Cl-Cu:2.61945	Cl-Zn:2.5561	Cl-Ga:2.47691	Cl-Ge:2.61945	Cl-As:2.61646	Cl-Se:2.33438	Cl-Br:3.22	Cl-Kr:1.6	Cl-Rb:3.24	Cl-Sr:3.47465	Cl-Y:3.04705	Cl-Zr:2.75	Cl-Nb:2.76198	Cl-Mo:2.76198	Cl-Tc:2.76198	Cl-Ru:2.76198	Cl-Rh:2.76198	Cl-Pd:2.61945	Cl-Ag:2.47691	Cl-Cd:2.90452	Cl-In:2.83	Cl-Sn:2.76198	Cl-Sb:2.76198	Cl-Te:2.33438	Cl-I:2.47691	Cl-Xe:2.47691	Cl-Cs:3.34042	Cl-Ba:3.38375	Cl-La:3.47465	Cl-Ce:3.33212	Cl-Pr:3.33212	Cl-Nd:3.33212	Cl-Pm:3.18958	Cl-Sm:3.33212	Cl-Eu:2.76198	Cl-Gd:3.18958	Cl-Tb:3.18958	Cl-Dy:3.12624	Cl-Ho:2.90452	Cl-Er:2.90452	Cl-Tm:3.18958	Cl-Yb:3.26877	Cl-Lu:2.90452	Cl-Hf:2.76198	Cl-Ta:2.76198	Cl-W:2.76198	Cl-Re:2.69863	Cl-Os:2.76198	Cl-Ir:2.76198	Cl-Pt:2.61945	Cl-Au:2.5561	Cl-Hg:3.24939	Cl-Tl:3.22497	Cl-Pb:3.39295	Cl-Bi:3.18958	Cl-Po:2.47691	Cl-At:1.6	Cl-Rn:1.6	Cl-Fr:1.6	Cl-Ra:1.6	Cl-Ac:3.47465	Cl-Th:3.15945	Cl-Pa:3.01437	Cl-U:3.04705	Cl-Np:3.07233	Cl-Pu:3.18958	Cl-Am:3.04705	Cl-Cm:3.04705	Cl-Bk:2.61945	Cl-Cf:3.18958	Cl-Es:1.6	Cl-Fm:1.6	Cl-Md:1.6	Cl-No:1.6	Cl-Lw:1.6	Cl-Rf:1.6	Cl-Db:1.6	Cl-Sg:1.6	Cl-Bh:1.6	Cl-Hs:1.6	Cl-Mt:1.6	Cl-Ds:1.6	Cl-Rg:1.6	
Ar-H:1.6	Ar-He:1.6	Ar-Li:1.6	Ar-Be:1.6	Ar-B:1.6	Ar-C:1.6	Ar-N:1.6	Ar-O:1.6	Ar-F:1.6	Ar-Ne:1.6	Ar-Na:1.6	Ar-Mg:1.6	Ar-Al:1.6	Ar-Si:1.6	Ar-P:1.6	Ar-S:1.6	Ar-Cl:1.6	Ar-Ar:3.38375	Ar-K:1.6	Ar-Ca:1.6	Ar-Sc:1.6	Ar-Ti:1.6	Ar-V:1.6	Ar-Cr:1.6	Ar-Mn:1.6	Ar-Fe:1.6	Ar-Co:1.6	Ar-Ni:1.6	Ar-Cu:1.6	Ar-Zn:1.6	Ar-Ga:1.6	Ar-Ge:1.6	Ar-As:1.6	Ar-Se:1.6	Ar-Br:1.6	Ar-Kr:1.6	Ar-Rb:1.6	Ar-Sr:1.6	Ar-Y:1.6	Ar-Zr:1.6	Ar-Nb:1.6	Ar-Mo:1.6	Ar-Tc:1.6	Ar-Ru:1.6	Ar-Rh:1.6	Ar-Pd:1.6	Ar-Ag:1.6	Ar-Cd:1.6	Ar-In:1.6	Ar-Sn:1.6	Ar-Sb:1.6	Ar-Te:1.6	Ar-I:1.6	Ar-Xe:1.6	Ar-Cs:1.6	Ar-Ba:1.6	Ar-La:1.6	Ar-Ce:1.6	Ar-Pr:1.6	Ar-Nd:1.6	Ar-Pm:1.6	Ar-Sm:1.6	Ar-Eu:1.6	Ar-Gd:1.6	Ar-Tb:1.6	Ar-Dy:1.6	Ar-Ho:1.6	Ar-Er:1.6	Ar-Tm:1.6	Ar-Yb:1.6	Ar-Lu:1.6	Ar-Hf:1.6	Ar-Ta:1.6	Ar-W:1.6	Ar-Re:1.6	Ar-Os:1.6	Ar-Ir:1.6	Ar-Pt:1.6	Ar-Au:1.6	Ar-Hg:1.6	Ar-Tl:1.6	Ar-Pb:1.6	Ar-Bi:1.6	Ar-Po:1.6	Ar-At:1.6	Ar-Rn:1.6	Ar-Fr:1.6	Ar-Ra:1.6	Ar-Ac:1.6	Ar-Th:1.6	Ar-Pa:1.6	Ar-U:1.6	Ar-Np:1.6	Ar-Pu:1.6	Ar-Am:1.6	Ar-Cm:1.6	Ar-Bk:1.6	Ar-Cf:1.6	Ar-Es:1.6	Ar-Fm:1.6	Ar-Md:1.6	Ar-No:1.6	Ar-Lw:1.6	Ar-Rf:1.6	Ar-Db:1.6	Ar-Sg:1.6	Ar-Bh:1.6	Ar-Hs:1.6	Ar-Mt:1.6	Ar-Ds:1.6	Ar-Rg:1.6	
K-H:3.21942	K-He:1.6	K-Li:3.32673	K-Be:3.39173	K-B:3.22497	K-C:3.16083	K-N:3.4113	K-O:3.33212	K-F:3.33212	K-Ne:1.6	K-Na:3.16083	K-Mg:3.47465	K-Al:3.39173	K-Si:3.39173	K-P:3.16083	K-S:3.16083	K-Cl:3.13	K-Ar:1.6	K-K:3.2	K-Ca:3.26037	K-Sc:3.38375	K-Ti:2.90452	K-V:2.90452	K-Cr:3.27628	K-Mn:3.27628	K-Fe:3.47465	K-Co:2.76198	K-Ni:2.90452	K-Cu:2.90452	K-Zn:3.38375	K-Ga:3.26037	K-Ge:3.27628	K-As:3.27628	K-Se:3.3	K-Br:3.34042	K-Kr:1.6	K-Rb:3.39173	K-Sr:3.42201	K-Y:3.38375	K-Zr:3.26037	K-Nb:3.04705	K-Mo:2.9837	K-Tc:2.90452	K-Ru:3.12624	K-Rh:3.04705	K-Pd:2.90452	K-Ag:2.47691	K-Cd:3.15646	K-In:3.16083	K-Sn:3.36428	K-Sb:3.39173	K-Te:3.27628	K-I:3.45587	K-Xe:3.39173	K-Cs:3.26037	K-Ba:3.27628	K-La:3.3181	K-Ce:3.26037	K-Pr:3.3181	K-Nd:3.36428	K-Pm:3.36428	K-Sm:3.42201	K-Eu:3.39173	K-Gd:3.27628	K-Tb:3.15646	K-Dy:3.38375	K-Ho:3.38375	K-Er:3.38375	K-Tm:3.38375	K-Yb:3.3181	K-Lu:3.38375	K-Hf:3.16083	K-Ta:2.90452	K-W:2.90452	K-Re:2.90452	K-Os:2.76198	K-Ir:2.90452	K-Pt:3.18958	K-Au:3.27628	K-Hg:3.16083	K-Tl:3.15646	K-Pb:3.17365	K-Bi:3.15646	K-Po:1.6	K-At:1.6	K-Rn:1.6	K-Fr:1.6	K-Ra:1.6	K-Ac:3.26037	K-Th:3.16083	K-Pa:3.25547	K-U:3.47465	K-Np:3.25547	K-Pu:3.19845	K-Am:1.6	K-Cm:1.6	K-Bk:1.6	K-Cf:1.6	K-Es:1.6	K-Fm:1.6	K-Md:1.6	K-No:1.6	K-Lw:1.6	K-Rf:1.6	K-Db:1.6	K-Sg:1.6	K-Bh:1.6	K-Hs:1.6	K-Mt:1.6	K-Ds:1.6	K-Rg:1.6	
Ca-H:2.69295	Ca-He:1.6	Ca-Li:3.47465	Ca-Be:3.33212	Ca-B:3.25547	Ca-C:3.04705	Ca-N:2.90452	Ca-O:2.90452	Ca-F:2.76198	Ca-Ne:1.6	Ca-Na:3.34042	Ca-Mg:3.22497	Ca-Al:3.38375	Ca-Si:3.16083	Ca-P:3.47465	Ca-S:3.18958	Ca-Cl:3.33212	Ca-Ar:1.6	Ca-K:3.26037	Ca-Ca:3.15646	Ca-Sc:3.16083	Ca-Ti:3.45501	Ca-V:3.45501	Ca-Cr:3.32673	Ca-Mn:3.47465	Ca-Fe:2.84117	Ca-Co:2.84117	Ca-Ni:3.25547	Ca-Cu:3.25547	Ca-Zn:3.38375	Ca-Ga:3.16083	Ca-Ge:3.25547	Ca-As:3.47465	Ca-Se:3.33212	Ca-Br:3.1	Ca-Kr:1.6	Ca-Rb:3.36428	Ca-Sr:3.39173	Ca-Y:3.27628	Ca-Zr:3.16083	Ca-Nb:3.38375	Ca-Mo:3.47465	Ca-Tc:3.22497	Ca-Ru:3.16083	Ca-Rh:3.19845	Ca-Pd:3.25547	Ca-Ag:3.47465	Ca-Cd:3.27628	Ca-In:3.22497	Ca-Sn:3.38375	Ca-Sb:3.25547	Ca-Te:3.38375	Ca-I:3.28	Ca-Xe:1.6	Ca-Cs:3.38375	Ca-Ba:3.26037	Ca-La:3.27628	Ca-Ce:3.21419	Ca-Pr:3.27628	Ca-Nd:3.27628	Ca-Pm:3.27628	Ca-Sm:3.27628	Ca-Eu:3.25547	Ca-Gd:3.16083	Ca-Tb:3.27628	Ca-Dy:3.27628	Ca-Ho:3.22497	Ca-Er:3.16083	Ca-Tm:3.16083	Ca-Yb:3.16083	Ca-Lu:3.16083	Ca-Hf:3.34042	Ca-Ta:3.47465	Ca-W:3.47465	Ca-Re:3.45501	Ca-Os:3.47465	Ca-Ir:3.47465	Ca-Pt:3.25547	Ca-Au:3.32673	Ca-Hg:3.38375	Ca-Tl:3.38375	Ca-Pb:3.34042	Ca-Bi:3.38375	Ca-Po:1.6	Ca-At:1.6	Ca-Rn:1.6	Ca-Fr:1.6	Ca-Ra:1.6	Ca-Ac:3.16083	Ca-Th:3.16083	Ca-Pa:3.16083	Ca-U:3.38375	Ca-Np:3.45587	Ca-Pu:3.45501	Ca-Am:1.6	Ca-Cm:1.6	Ca-Bk:1.6	Ca-Cf:1.6	Ca-Es:1.6	Ca-Fm:1.6	Ca-Md:1.6	Ca-No:1.6	Ca-Lw:1.6	Ca-Rf:1.6	Ca-Db:1.6	Ca-Sg:1.6	Ca-Bh:1.6	Ca-Hs:1.6	Ca-Mt:1.6	Ca-Ds:1.6	Ca-Rg:1.6	
Sc-H:2.24291	Sc-He:1.6	Sc-Li:3.19845	Sc-Be:3.33212	Sc-B:3.26877	Sc-C:2.84117	Sc-N:2.61945	Sc-O:2.47691	Sc-F:2.41357	Sc-Ne:1.6	Sc-Na:3.25547	Sc-Mg:3.47465	Sc-Al:3.47465	Sc-Si:3.33212	Sc-P:3.18958	Sc-S:2.90452	Sc-Cl:2.90452	Sc-Ar:1.6	Sc-K:3.38375	Sc-Ca:3.16083	Sc-Sc:3.22497	Sc-Ti:3.47465	Sc-V:3.33212	Sc-Cr:3.33212	Sc-Mn:3.19845	Sc-Fe:3.18958	Sc-Co:3.33212	Sc-Ni:3.33212	Sc-Cu:3.47465	Sc-Zn:3.47465	Sc-Ga:3.33212	Sc-Ge:3.33212	Sc-As:3.33212	Sc-Se:2.90452	Sc-Br:2.90452	Sc-Kr:1.6	Sc-Rb:3.33212	Sc-Sr:3.34042	Sc-Y:3.25547	Sc-Zr:3.47465	Sc-Nb:3.25547	Sc-Mo:3.4113	Sc-Tc:3.18958	Sc-Ru:3.47465	Sc-Rh:3.33212	Sc-Pd:3.33212	Sc-Ag:3.4113	Sc-Cd:3.25547	Sc-In:3.25547	Sc-Sn:3.47465	Sc-Sb:3.47465	Sc-Te:3.47465	Sc-I:3.18958	Sc-Xe:1.6	Sc-Cs:3.39173	Sc-Ba:3.33212	Sc-La:3.16083	Sc-Ce:3.16083	Sc-Pr:3.45501	Sc-Nd:3.16083	Sc-Pm:3.45501	Sc-Sm:3.45501	Sc-Eu:3.16083	Sc-Gd:3.38375	Sc-Tb:3.25547	Sc-Dy:3.32673	Sc-Ho:3.38375	Sc-Er:3.38375	Sc-Tm:3.38375	Sc-Yb:3.25547	Sc-Lu:3.32673	Sc-Hf:3.47465	Sc-Ta:3.33212	Sc-W:3.33212	Sc-Re:3.47465	Sc-Os:3.33212	Sc-Ir:3.33212	Sc-Pt:3.18958	Sc-Au:3.4113	Sc-Hg:3.47465	Sc-Tl:3.47465	Sc-Pb:3.32673	Sc-Bi:3.25547	Sc-Po:3.18958	Sc-At:1.6	Sc-Rn:1.6	Sc-Fr:1.6	Sc-Ra:1.6	Sc-Ac:3.34042	Sc-Th:3.16083	Sc-Pa:3.25547	Sc-U:3.25547	Sc-Np:3.32673	Sc-Pu:3.25547	Sc-Am:1.6	Sc-Cm:1.6	Sc-Bk:1.6	Sc-Cf:1.6	Sc-Es:1.6	Sc-Fm:1.6	Sc-Md:1.6	Sc-No:1.6	Sc-Lw:1.6	Sc-Rf:1.6	Sc-Db:1.6	Sc-Sg:1.6	Sc-Bh:1.6	Sc-Hs:1.6	Sc-Mt:1.6	Sc-Ds:1.6	Sc-Rg:1.6	
